address,label,chain_id,contract_type,description,abi_verified,security_status,created_date
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,1,ERC20,Wrapped Bitcoin on Ethereum,true,audited,2024-01-01T00:00:00Z
0xA0b86a33E6441c8B0db05A8E95Dcd7d4E4a8D5B7,UniswapV2Router,1,DEX,Uniswap V2 Router Contract,true,audited,2024-01-01T00:00:00Z
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,UniswapV3Router,1,DEX,Uniswap V3 Router Contract,true,audited,2024-01-01T00:00:00Z
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,UNI,1,ERC20,Uniswap Governance Token,true,audited,2024-01-01T00:00:00Z
0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,1,ERC20,Dai Stablecoin,true,audited,2024-01-01T00:00:00Z
0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b,CRO,1,ERC20,Cronos Token,true,audited,2024-01-01T00:00:00Z
0x514910771AF9Ca656af840dff83E8264EcF986CA,LINK,1,ERC20,Chainlink Token,true,audited,2024-01-01T00:00:00Z
0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,HEX,1,ERC20,HEX Token,true,verified,2024-01-01T00:00:00Z
0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIB,1,ERC20,Shiba Inu Token,true,verified,2024-01-01T00:00:00Z
0xfB7B4564402E5500dB5bB6d63Ae671302777C75a,DEXT,1,ERC20,DEXTools Token,true,verified,2024-01-01T00:00:00Z
0x0D8775F648430679A709E98d2b0Cb6250d2887EF,BAT,1,ERC20,Basic Attention Token,true,audited,2024-01-01T00:00:00Z
0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9,FTT,1,ERC20,FTX Token,true,deprecated,2024-01-01T00:00:00Z
0x4Fabb145d64652a948d72533023f6E7A623C7C53,BUSD,56,ERC20,Binance USD,true,deprecated,2024-01-01T00:00:00Z
0x55d398326f99059fF775485246999027B3197955,USDT,56,ERC20,Tether USD BSC,true,audited,2024-01-01T00:00:00Z
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_BSC,56,ERC20,BUSD BSC,true,deprecated,2024-01-01T00:00:00Z
