address,name,protocol,category,chain_id,verified_date,description,website,security_audit,tvl_usd,volume_24h_usd
0xA0b86a33E6417Fa96fA8A0e3B1b0E5E5b0c5B4d0,Uniswap V3 Router,Uniswap,DEX,1,2021-05-05,Decentralized exchange router for token swaps,https://uniswap.org,true,4800000000,850000000
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,Uniswap V2 Router,Uniswap,DEX,1,2020-05-18,Legacy Uniswap V2 router contract,https://uniswap.org,true,1200000000,250000000
0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI Stablecoin,MakerDAO,Stablecoin,1,2019-11-18,Decentralized stablecoin backed by crypto collateral,https://makerdao.com,true,5000000000,180000000
0xA0b86a33E6417Fa96fA8A0e3B1b0E5E5b0c5B4d0,USDC Token,Centre,Stablecoin,1,2018-09-26,USD Coin - fully collateralized US dollar stablecoin,https://centre.io,true,42000000000,2400000000
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,Tether,Stablecoin,1,2017-11-28,Most widely used stablecoin,https://tether.to,true,83000000000,19000000000
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped Bitcoin,BitGo,Wrapped Asset,1,2019-01-24,Wrapped Bitcoin on Ethereum,https://wbtc.network,true,13500000000,650000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,Ethereum,Wrapped Asset,1,2017-12-18,Wrapped Ether ERC-20 token,https://weth.io,true,2800000000,1200000000
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,Uniswap Token,Uniswap,Governance,1,2020-09-16,Governance token for Uniswap protocol,https://uniswap.org,true,4200000000,95000000
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,Aave Token,Aave,Governance,1,2020-10-02,Governance token for Aave protocol,https://aave.com,true,1850000000,45000000
0xC011A72400E58ecD99Ee497CF89E3775d4bd732F,Synthetix Network,Synthetix,DeFi,1,2018-02-28,Decentralized synthetic asset protocol,https://synthetix.io,true,420000000,12000000
0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,Maker Token,MakerDAO,Governance,1,2017-12-18,Governance token for MakerDAO,https://makerdao.com,true,680000000,18000000
0xc00e94Cb662C3520282E6f5717214004A7f26888,Compound Token,Compound,Governance,1,2020-06-15,Governance token for Compound protocol,https://compound.finance,true,850000000,25000000
0x0D8775F648430679A709E98d2b0Cb6250d2887EF,Basic Attention Token,Brave,Utility,1,2017-05-31,Token for Brave browser ecosystem,https://brave.com,true,420000000,35000000
0xE41d2489571d322189246DaFA5ebDe1F4699F498,0x Protocol Token,0x,Protocol,1,2017-08-15,Token for 0x decentralized exchange protocol,https://0x.org,true,180000000,8500000
0x1494CA1F11D487c2bBe4543E90080AeBa4BA3C2b,DeFi Pulse Index,Index Coop,Index,1,2020-10-06,Diversified DeFi index token,https://indexcoop.com,true,125000000,2800000
0x408e41876cCCDC0F92210600ef50372656052a38,Republic Token,Republic,Governance,1,2019-07-18,Governance token for Republic protocol,https://republic.co,true,95000000,1500000
0x10f6F8C87E1C84d2Df4089e2e1B60d52E2Ba3D2E,Moonbeam Bridge,Moonbeam,Bridge,1284,2022-01-11,Cross-chain bridge for Moonbeam network,https://moonbeam.network,true,85000000,4200000
